Year,Id,Name,Incumbent/Challenger/OpenSeat,Party Code,Party Designation,Total Receipts,Authorized Transfers From,Total Disbursements,Transfers to Authorized,Beginning Cash,Ending Cash,Contrib from Candidate,Loans from Candidate,Other Loans,Candidate Loan Repayments,Other Loan Repayments,Debts Owed By,Total Individual Contributions,State,District,Spec Elec Status,Primary Elec Status,Runoff Elec Status,General Elec Status,General Election Percentage,Contributions from Other Committees,Contributions from Party Committees,Ending Date,Refunds to Individuals,Refunds to Committees
1996,H2AL02034,"CAMP, BILLY JOE",O,1,DEM,410610,0,398893,0,0,663,0,210300,20000,5250,0,157550,151240,AL,4,,R,L,,0,25000,3000,12311996,,
1996,H6AL03066,"COMER, BRAXTON BRAGG II",O,2,REP,804344,0,804342,0,0,0,379116,190600,180000,378989,0,0,53627,AL,3,,R,L,,0,1000,0,12311996,,
1996,H0AL05049,"CRAMER, ROBERT E ""BUD"" JR",I,1,DEM,1009217,104,1006445,104,7885,10653,0,25000,0,10174,0,32864,524914,AL,5,,W,,W,56,420570,33910,12311996,,
1996,H6AL14014,"DAVIDSON, CHARLES OWEN",O,2,REP,48200,0,47796,0,0,402,3000,0,0,0,0,0,37700,AL,4,,L,,,0,7500,0,6301996,,
1996,H0AL03101,"DIAL, GERALD OSCAR",O,1,DEM,161542,0,131948,0,0,5441,5344,0,0,0,0,0,97198,AL,3,,R,L,,0,59000,0,6301996,,
1996,H2AL02067,"EVERETT, TERRY",I,2,REP,818229,0,983814,0,174042,8456,0,0,326500,654655,0,675873,297802,AL,2,,W,,W,63,176006,10130,12311996,,
1996,H4AL03020,"FITE, LEAMON M JR",O,1,DEM,9456,0,9456,0,0,923,0,9456,0,923,0,8533,0,AL,3,,L,,,0,0,0,6101996,,
1996,H6AL02118,"GAINES, ROBERT E (BOB)",,1,DEM,171212,100,171208,0,0,4,20,10000,0,10131,0,0,90578,AL,2,,W,,L,35,45500,14500,11251996,,
1996,H6AL04056,"GUESS, BARRY MACKLIN",O,2,REP,36248,0,35715,0,0,462,0,8130,0,0,0,8130,27935,AL,4,,L,,,0,0,0,12311996,,
1996,H6AL03090,"HAGANS, RICK",O,2,REP,11198,0,10997,0,0,200,147,1500,600,0,0,2513,8501,AL,3,,L,,,0,250,0,9301996,,
1996,H4AL03038,"HAND, BENNY C",O,2,REP,22413,0,24945,0,2780,1246,600,3545,0,0,0,23945,15267,AL,3,,L,,,0,1500,1000,5151996,,
1996,H6AL06093,"HARRIS, T THOMAS FRANKLIN JR",,3,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,6,,W,,L,0,0,0,12311996,,
1996,H6AL04072,"HAWK, HOWARD GRIFFITH",O,1,DEM,110650,0,109363,0,0,1286,0,16165,0,13000,0,3165,80330,AL,4,,L,,,0,13850,200,12311996,,
1996,H6AL04122,"HESTER, JERRY",O,1,DEM,39544,0,39545,0,0,0,6758,2500,0,2499,0,0,28835,AL,4,,L,,,0,1450,0,11081996,,
1996,H2AL07041,"HILLIARD, EARL FREDERICK",I,1,DEM,243973,0,240304,0,4110,9280,0,20652,0,21832,50,42616,42520,AL,7,,W,,W,71,175100,1850,12311996,,
1996,H2AL07074,"JONES, KERVIN",,2,REP,10194,0,10193,0,0,0,0,0,200,0,200,0,9994,AL,7,,L,,,0,0,0,7011996,,
1996,H6AL03074,"LITTLE, T D (TED)",O,1,DEM,804886,0,799043,0,0,5843,25,134970,0,30970,0,104000,354498,AL,3,,R,W,L,46,304085,5150,12311996,,
1996,H4AL05033,"MCINNISH, HUGH",,2,REP,64002,0,61707,0,1060,3354,0,0,0,0,0,15493,58833,AL,5,,L,,,0,5000,0,12311996,,
1996,H6AL04080,"MOSELEY, MILLEDGE COLEMAN ""MICKEY"" III",O,2,REP,20796,0,20795,0,0,0,100,0,0,0,0,0,20395,AL,4,,L,,,0,0,0,7141996,,
1996,H4AL05025,"PARKER, WAYNE JR",,2,REP,882970,0,886648,0,6549,2870,0,2000,0,2000,2000,0,818975,AL,5,,W,,L,41,20100,20000,12311996,,
1996,H6AL07125,"POWELL, JOSEPH EDWARD",,2,REP,224413,0,224029,0,0,382,23202,38387,0,0,0,66614,147074,AL,7,,R,W,L,27,6300,7000,12311996,,
1996,H6AL04114,"RICH, KERRY",O,2,REP,58020,0,58018,0,0,0,21000,6000,0,0,0,6106,25658,AL,4,,L,,,0,5000,0,8031996,,
1996,H6AL03058,"RILEY, ROBERT R",O,2,REP,864745,0,864791,0,0,-46,7358,213841,0,57000,0,204511,358621,AL,3,,R,W,W,50,271862,13000,12311996,,
1996,H6AL03041,"SEXTON, WILLIAM JACK",O,2,REP,45435,0,46317,0,0,217,0,13739,0,1516,0,12223,31653,AL,3,,L,,,0,1250,0,12311996,,
1996,H0AL03168,"SLEDGE, ROLAND DONALD",O,2,REP,33675,0,33674,0,0,0,0,28000,0,1588,0,0,5675,AL,3,,L,,,0,0,0,7121996,,
1996,H6AL07141,"WALKER, CLIFF",,2,REP,31518,0,30221,0,0,1278,2000,0,0,0,0,0,15926,AL,7,,R,L,,0,13500,0,1311997,,
1996,H6AL03082,"WILLIS, GERALD",O,1,DEM,341182,0,341181,0,0,0,162047,150000,0,161629,0,0,27635,AL,3,,L,,,0,1500,0,3311997,,
1996,H6AL04106,"WILSON, ROBERT T JR",O,1,DEM,1023914,0,1023515,0,0,395,0,543494,0,270791,0,272702,262024,AL,4,,R,W,L,48,190950,27336,12311996,,
1996,H4AL01107,"WOMACK, DON",,1,DEM,92342,0,39826,0,104,52618,0,0,0,0,0,23223,21845,AL,1,,W,,L,33,66800,2900,10161996,,
1996,H6AR01072,"BERRY, ROBERT MARION",O,1,DEM,873821,0,871389,0,0,2430,0,87147,0,15075,0,99192,495545,AR,1,,R,W,W,52,266235,11875,12311996,,
1996,H6AR03052,"BROWN, JOHN E III",O,2,REP,7286,0,7286,0,0,0,0,0,0,0,0,0,7286,AR,3,,,,,0,0,0,10151996,,
1996,H6AR02195,"COON, KENNETH L SR",O,2,REP,62126,0,67031,0,0,0,4905,15000,0,15000,0,0,47126,AR,2,,L,,,0,0,0,12311996,,
1996,H6AR04043,"COPLEY, STEPHEN JEAN",,1,DEM,34781,0,34785,0,0,4,14146,0,0,0,0,3626,9135,AR,4,,,,,0,11000,0,12311996,,
1996,H6AR02179,"CUMMINS, H E ""BUD""",O,2,REP,731094,0,730699,0,0,391,4280,55000,0,30000,0,25000,543561,AR,2,,R,W,L,47,107050,21202,12311996,,
1996,H6AR03045,"DAVIS, BOYCE RAY",O,1,DEM,62994,2500,62401,0,0,592,0,8022,0,0,0,4013,41022,AR,3,,L,,,0,4549,6900,12311996,,
1996,H2AR04067,"DICKEY, JAY W JR",I,2,REP,656708,0,452572,0,3557,207692,0,0,0,0,0,0,634473,AR,4,,W,,W,63,0,9392,12311996,,
1996,H6AR01080,"DONALDSON, THOMAS F JR",O,1,DEM,121932,0,120849,0,0,1082,900,10650,0,650,0,19589,108217,AR,1,,R,L,,0,2000,150,12311996,,
1996,H4AR01036,"DUPWE, WARREN E",O,2,REP,574667,0,574846,0,753,573,3259,0,0,0,0,0,419033,AR,1,,W,,L,44,122835,28825,12311996,,
1996,H6AR02138,"EDWARDS, JOHN CHARLES",O,1,DEM,125602,0,125599,0,0,0,6650,0,0,0,0,0,114302,AR,2,,L,,,0,4250,250,12311996,,
1996,H6AR03060,"HENRY, ANN",O,1,DEM,466533,0,441734,0,0,24796,0,130000,0,0,0,130000,259141,AR,3,,w,,L,41,61250,16075,12311996,,
1996,H6AR03078,"HUFFMAN, TONY JOE",O,3,REF,7176,0,6992,0,0,183,0,0,0,0,0,0,7176,AR,3,,W,,L,2,0,0,10241996,,
1996,H6AR03011,"HUTCHINSON, WILLIAM ASA",O,2,REP,373369,0,366628,0,0,1868,0,15000,0,15000,0,0,229811,AR,3,,W,,W,55,109973,18179,12311996,,
1996,H0AR03014,"IVY, DANNY CHRIS",O,2,REP,12800,0,12781,0,0,18,12800,0,0,0,0,0,0,AR,3,,,,,0,0,0,12311996,,
1996,H6AR02153,"KLOTE, JAMES DENVER",O,2,REP,54731,0,54680,0,0,50,0,0,0,0,0,7041,54665,AR,2,,L,,,0,0,0,7151996,,
1996,H6AR02187,"MELTON, DONALD RAY",O,2,REP,16813,0,16812,0,0,0,5363,0,0,0,0,0,11230,AR,2,,L,,,0,0,0,6301996,,
1996,H4AR02109,"POWELL, WILLIAM E",O,2,REP,14939,0,17595,0,2995,339,0,0,0,0,0,0,14832,AR,2,,R,L,,0,0,0,5311996,,
1996,H6AR01064,"SMITH, KIRBY JOE",O,1,DEM,54166,0,54166,0,0,0,0,11141,308,11141,308,0,20292,AR,1,,L,,,0,22075,350,5311996,,
1996,H6AR02203,"SNYDER, VICTOR FREDERICK",O,1,DEM,799317,0,798145,0,0,1170,0,0,0,0,0,12393,564061,AR,2,,R,W,W,52,221755,13375,12311996,,
1996,H6AR02146,"STODOLA, MARK",O,1,DEM,387662,100,385764,100,0,1897,0,0,50000,0,35000,15000,284236,AR,2,,R,L,,0,51450,250,12311996,,
1996,H4AS00036,"COLEMAN, AUMUA AMATA",,2,REP,18617,0,24535,0,5984,165,2000,0,0,0,0,923,15470,AS,0,,,,L,23,0,1147,12311996,,
1996,H0AS00018,"FALEOMAVAEGA, ENI F H",I,1,DEM,70748,0,65792,0,1667,6621,0,4918,1145,1431,145,22625,33035,AS,0,,W,,W,49,28500,3150,12311996,,
1996,H6AZ02130,"BUSTER, JIM",,2,REP,106858,0,104287,0,0,2568,4240,0,0,0,0,0,82943,AZ,2,,W,,L,31,19675,0,12311996,,
1996,H6AZ01116,"COX, JOHN",,1,DEM,13295,0,10857,0,0,2436,0,0,700,0,700,0,4995,AZ,1,,,,,0,7600,0,12311996,,
1996,H6AZ02114,"FLOREZ, VIDA ZOE",,2,REP,49412,0,37873,0,0,503,8376,6950,0,0,0,2550,33029,AZ,2,,L,,,0,1055,0,12311996,,
1996,H4AZ06052,"HAYWORTH, J D",I,2,REP,1511381,0,1499755,0,10887,22513,0,0,1000,0,1000,8644,861626,AZ,6,,W,,W,47,611958,22002,12311996,,
1996,H2AZ02014,"KOLBE, JAMES THOMAS",I,2,REP,420771,0,415550,0,40033,45254,0,0,0,0,0,0,238434,AZ,5,,W,,W,68,165775,1999,12311996,,
1996,H6AZ04151,"MILTON, MARIA ELENA",,1,DEM,116920,0,116003,0,0,916,0,598,0,0,0,178,111475,AZ,4,,W,,L,33,3300,0,12311996,,
1996,H6AZ06016,"OWENS, STEVE",,1,DEM,801552,0,762046,0,0,39505,1708,0,0,0,0,0,522454,AZ,6,,W,,L,46,267644,4350,12311996,,
1996,H2AZ02055,"PASTOR, EDWARD LOPEZ",I,1,DEM,486368,0,405526,0,52628,133468,0,0,0,0,0,0,215052,AZ,2,,W,,W,64,242425,5350,12311996,,
1996,H4AZ01038,"SALMON, MATTHEW JAMES",I,2,REP,494855,3473,456089,22000,30601,69365,0,0,0,0,0,0,263059,AZ,1,,W,,W,0,223137,163,12311996,,
1996,H6AZ03138,"SCHNEIDER, ALEXANDER G SR",,1,DEM,31287,0,23567,0,0,1148,0,12935,0,0,0,9135,11782,AZ,3,,W,,L,33,6500,270,12311996,,
1996,H4AZ04016,"SHADEGG, JOHN BARDEN",I,2,REP,504330,0,512249,0,12423,4504,450,0,0,13000,0,10314,312713,AZ,4,,W,,W,66,185302,245,12311996,,
1996,H6AZ04144,"SILVER, ROBIN DEREK MD",,2,REP,90023,0,89485,0,0,528,34286,0,0,0,0,0,52737,AZ,4,,L,,,0,0,5500,12311996,,
1996,H6AZ03112,"STUMP, BOB",I,2,REP,244389,0,234597,0,80712,90501,0,0,0,0,0,0,112885,AZ,3,,W,,W,66,124016,1000,12311996,,
1996,H4AZ03042,"TURNANSKY, STUART MICHAEL",,1,DEM,10062,0,9497,0,0,563,0,1000,0,0,267,15479,7962,AZ,4,,L,,,0,1100,0,12311996,,
1996,H6CA45050,"ALEXANDER, SALLY",,1,DEM,55821,0,51491,0,0,4329,0,4000,0,365,0,3635,43679,CA,45,,W,,L,33,4900,1886,12311996,,
1996,H6CA01103,"ALIOTO, MICHELA A",,1,DEM,1468053,0,1427997,0,0,40054,0,499207,0,0,0,505810,666299,CA,1,,W,,L,44,293943,5351,12311996,,
1996,H6CA50027,"BAIZE, JIMMIE WAYNE",,2,REP,129225,0,120562,0,0,8663,611,0,0,0,0,0,94928,CA,50,,W,,L,32,32735,0,12311996,,
1996,H2CA00047,"BAKER, WILLIAM P",I,2,REP,1454337,0,1398556,0,10305,66086,0,0,1000,49000,0,1000,954444,CA,10,,W,,L,46,382808,76125,12311996,,
1996,H6CA19097,"BARILE, PAUL",,1,DEM,6511,0,6509,0,0,0,0,1600,0,1170,0,0,1975,CA,19,,W,,L,27,1000,1836,11051996,,
1996,H2CA30143,"BECERRA, XAVIER",I,1,DEM,244064,0,223890,0,59583,79754,0,0,0,30000,0,0,99333,CA,30,,W,,W,72,143700,200,12311996,,
1996,H2CA26026,"BERMAN, HOWARD L",I,1,DEM,436348,0,408096,0,62006,90258,0,0,0,0,0,25000,266472,CA,26,,W,,W,65,161890,0,12311996,,
1996,H4CA49032,"BILBRAY, BRIAN P",I,2,REP,1193729,0,1122073,0,3558,75214,0,0,0,11336,0,0,658373,CA,49,,W,,W,52,465747,10425,12311996,,
1996,H4CA44058,"BONO, SONNY",I,2,REP,475769,0,459527,0,8047,24289,0,0,0,204000,1000,220650,223419,CA,44,,W,,W,57,247361,1735,12311996,,
1996,H6CA02168,"BRADEN, ROBERTS AUSTIN",,1,DEM,166438,0,161918,0,0,4519,49441,70213,0,753,0,69460,29562,CA,2,,W,,L,33,9000,5396,12311996,,
1996,H6CA37255,"BRADLEY, OMAR",O,1,DEM,30749,0,34056,0,0,2491,0,0,0,0,0,0,30749,CA,37,L,L,,,0,0,0,4151996,,
1996,H4CA14051,"BRINK, BENJAMIN MCALESTER",,2,REP,453937,0,432849,0,3291,25318,0,164442,0,150400,0,116033,274868,CA,14,,W,,L,30,3500,0,11251996,,
1996,H4CA36039,"BROOKS, SUSAN",,2,REP,491748,0,486564,0,2241,7426,71122,18000,1000,10000,3000,151165,323231,CA,36,,W,,L,43,104832,38799,12311996,,
1996,H6CA36026,"BROWN, GEORGE E JR",I,1,DEM,705243,0,722544,0,53389,36086,0,0,0,0,0,0,352888,CA,42,,W,,W,50,325375,21310,12311996,,
1996,H4CA17062,"BROWN, JESS DANIEL",,2,REP,418614,0,418340,0,0,271,0,0,0,0,0,0,335997,CA,17,,W,,L,38,63837,18778,12311996,,
1996,H6CA01129,"BURTON, WILLIAM",,1,DEM,13972,0,10837,0,0,3285,2877,4500,0,0,0,5813,6745,CA,1,,L,,,0,0,0,6301996,,
1996,H2CA37023,"CALVERT, KEN",I,2,REP,639987,0,594665,0,14665,59984,0,0,0,47500,0,19067,379772,CA,43,,W,,W,54,255459,1250,12311996,,
1996,H8CA12080,"CAMPBELL, THOMAS J",I,2,REP,2529996,0,2177865,0,0,352128,0,10000,3000,10000,3000,60000,1843948,CA,15,W,W,,W,57,533436,115844,12311996,,
1996,H4CA22088,"CAPPS, WALTER H",C,1,DEM,962629,0,904831,0,658,58456,0,0,0,11500,0,22000,694751,CA,22,,W,,W,51,232237,33400,12311996,,
1996,H6CA35085,"CARLSON, ERIC TODD",,2,REP,2440,67,2428,0,0,10,473,0,1465,0,154,1959,435,CA,35,,W,,L,11,0,0,9301996,,
1996,H6CA37230,"CARRILLO, M SUSAN",O,1,DEM,27568,0,26646,0,0,921,0,2000,0,0,0,6000,25568,CA,37,L,L,,,0,0,0,3311996,,
1996,H6CA37297,"CARTER, MURRY J",O,1,DEM,9162,0,7998,0,0,1162,0,5000,0,0,0,5000,3637,CA,37,L,,,,0,0,0,12311996,,
1996,H6CA49011,"CASADY, NANCY LEE",,1,DEM,29738,0,29774,2614,0,0,0,0,0,0,0,0,21784,CA,49,,L,,,0,11000,450,12311996,,
1996,H6CA26142,"CATHCART, BRIAN K",,2,REP,10154,0,5463,0,0,0,0,9904,0,0,0,0,225,CA,26,,L,,,0,0,25,9301996,,
1996,H6CA17075,"CHAVEZ, PHILLIP HIRAM",,2,REP,108119,0,108098,0,0,20,0,86733,50,0,0,86783,21178,CA,17,,L,,,0,0,0,12311996,,
1996,H6CA40234,"CONAWAY, ROBERT DEAN",,1,DEM,13578,0,12085,0,0,1566,6156,2000,0,250,0,350,5407,CA,40,,W,,L,29,0,0,12311996,,
1996,H0CA15031,"CONDIT, GARY A",I,1,DEM,639682,0,678001,0,96344,58025,0,0,0,0,0,11456,286482,CA,18,,W,,W,65,334271,0,12311996,,
1996,H6CA18081,"CONRAD, WILLIAM BRYAN",,2,REP,75462,0,75271,9891,0,220,2100,1286,3680,0,1000,3967,60975,CA,18,,W,,L,31,7450,0,12311996,,
1996,H8CA40057,"COX, CHRISTOPHER",I,2,REP,829803,0,526738,0,360974,664039,0,0,0,0,0,0,392411,CA,47,,W,,W,65,399665,0,12311996,,
1996,H4CA40049,"CRAIG, GEORGE THOMAS",,2,REP,770,0,550,0,0,4605,0,0,0,0,0,70000,300,CA,40,,L,,,0,0,0,12311996,,
1996,H0CA45012,"CUNNINGHAM, RANDY DUKE",I,2,REP,734663,0,425525,0,119279,428847,0,0,0,0,0,0,393075,CA,51,,W,,W,64,314705,2315,12311996,,
1996,H6CA37206,"DAVIS, CHARLES",O,1,DEM,55257,0,55905,0,0,-650,15772,19000,0,2263,0,0,20485,CA,37,L,L,,,0,0,0,9301996,,
1996,H6CA43105,"DAVIS, DAVID L",,2,REP,15964,0,15963,0,0,0,750,0,0,0,0,0,13971,CA,43,,L,,,0,1077,0,7311996,,
1996,H6CA08041,"DELLUMS, RONALD V",I,1,DEM,428339,0,415090,0,10740,23985,0,0,0,0,0,0,294332,CA,9,,W,,W,77,122865,0,12311996,,
1996,H2CA00054,"DINSMORE, ROBERT SUNDERLAND",,2,REP,18320,0,18792,0,1750,295,0,15200,0,3506,0,78400,3120,CA,5,,W,,L,26,0,0,6301996,,
1996,H8CA28029,"DIXON, JULIAN C",I,1,DEM,93520,0,97495,0,119400,115421,0,0,0,0,0,0,28270,CA,32,,W,,W,82,65250,0,12311996,,
1996,H0CA17045,"DOOLEY, CALVIN M",I,1,DEM,625231,0,662818,0,38805,1223,0,0,0,0,0,27544,296615,CA,20,,W,,W,55,319600,8180,12311996,,
1996,H0CA14042,"DOOLITTLE, JOHN T",I,2,REP,717259,0,604778,0,16395,128974,0,0,0,0,0,6154,483973,CA,4,,W,,W,60,221400,0,12311996,,
1996,H6CA27124,"DORNAN, ROBERT KENNETH",I,2,REP,748336,0,741984,0,113484,119833,0,0,0,0,0,7500,691915,CA,46,,W,,L,45,44772,7250,12311996,,
1996,H6CA48013,"DREBUSHENKO,WILLIAM",,3,REF,3888,0,3862,0,0,0,22,2800,0,725,0,1800,1066,CA,48,,W,,L,3,0,0,11251996,,
1996,H8CA35032,"DREIER, DAVID",I,2,REP,831156,0,396104,0,2306513,2741564,0,0,0,0,0,0,226554,CA,28,,W,,W,60,301900,0,12311996,,
1996,H6CA17117,"ERNEST, ERNEST",,3,,32285,0,30354,0,0,994,30000,0,0,0,0,0,0,CA,17,,W,,,0,0,0,12111996,,
1996,H8CA12098,"ESHOO, ANNA",I,1,DEM,575018,0,544566,0,151238,181691,0,0,0,63578,0,3545,318488,CA,14,,W,,W,65,246315,300,12311996,,
1996,H4CA20041,"ESTRADA, JOHN",,1,DEM,5485,0,5491,0,6,0,4077,0,0,183,720,0,1408,CA,20,,,,,0,0,0,6301996,,
1996,H6CA15087,"ESTRUTH, JERRY THOMAS",O,1,DEM,817558,10324,805807,0,0,11750,103000,85000,0,35000,0,106756,297432,CA,15,L,,,,0,283400,38205,12311996,,
1996,H2CA21076,"EVANS, JOHN LESLIE",,3,REF,5420,0,5505,0,101,15,530,1600,300,1200,300,18900,2900,CA,21,,W,,L,4,0,0,12311996,,
1996,H2CA43237,"FARBER, MICHAEL",C,1,DEM,571828,60274,572632,60274,832,28,0,14210,8160,53875,19156,43622,495934,CA,46,,L,,,0,660,0,6301996,,
1996,H4CA17021,"FARR, SAM",I,1,DEM,668733,49463,609698,49463,36851,95883,0,0,0,0,0,27136,313255,CA,17,,W,,W,58,297022,1292,12311996,,
1996,H8CA42095,"FARRELL, DAN",,1,DEM,11000,0,10645,0,0,354,273,2891,0,400,0,2491,4180,CA,48,,W,,L,27,0,3436,12311996,,
1996,H6CA13124,"FAY, JAMES S",,2,REP,61949,0,60106,0,0,1840,2430,0,0,0,0,0,49746,CA,13,,W,,L,30,8000,1100,12311996,,
1996,H8CA04053,"FAZIO, VICTOR H",I,1,DEM,2412373,0,2320330,0,67278,159321,0,0,0,0,0,1998,1014510,CA,3,,W,,W,53,1363328,1325,12311996,,
1996,H2CA50034,"FILNER, BOB",I,1,DEM,1134890,0,1142370,0,15581,8101,0,103050,0,124040,0,98050,509379,CA,50,,W,,W,62,512355,1675,12311996,,
1996,H4CA31048,"FLORES, JOHN V",,2,REP,39456,0,39439,20,6,17,0,1350,3000,9095,0,59820,22556,CA,31,,W,,L,27,11700,850,12311996,,
1996,H6CA36075,"FORD, GREGORY JOHN",,2,REP,45315,0,45314,0,0,0,0,38892,0,0,0,38893,6073,CA,36,,L,,,0,100,0,12311996,,
1996,H6CA21028,"GALLEGLY, ELTON",I,2,REP,486919,0,294940,0,146053,338031,0,0,0,0,0,11979,343853,CA,23,,W,,W,58,121889,0,12311996,,
1996,H6CA06169,"GARSTECKI, DAN",,2,REP,43007,0,42883,0,0,0,0,0,0,0,0,0,1485,CA,6,,L,,,0,0,40792,11211996,,
1996,H6CA21150,"GENTRY, KAREN",,2,REP,10683,0,10683,0,0,0,2458,0,0,0,0,0,8225,CA,21,,L,,,0,0,0,,,
1996,H6CA20103,"GIST, FRANCIS JOHN III",,2,REP,39069,0,32668,0,0,180,2550,9000,5548,1000,0,12303,27044,CA,20,,L,,,0,0,0,6301996,,
1996,H2CA26059,"GLASS, BILL",,2,REP,83133,0,78469,0,0,4659,0,73196,0,14196,0,59000,9746,CA,26,,W,,L,28,0,0,12311996,,
1996,H6CA27223,"GORDON, BARRY",O,1,DEM,237443,0,233690,0,0,3753,300,24223,0,0,0,47223,159430,CA,27,,L,,,0,53211,0,12311996,,
1996,H6CA42107,"GUTIERREZ, REX DALE ALEXANDER",,2,REP,159039,0,158964,0,0,67,0,35499,0,4247,0,68086,121243,CA,42,,L,,,0,1599,0,12311996,,
1996,H2CA33063,"GUZMAN, ROBERT S II",C,2,REP,143477,0,144516,0,1042,0,2532,54141,0,1940,0,379678,86053,CA,42,,L,,,0,750,0,6301996,,
1996,H6CA49060,"HAMBSCH, KEVIN PHILIP",,3,REF,4595,0,3207,0,0,1387,0,4500,0,0,0,4500,95,CA,49,,W,,L,1,0,0,10161996,,
1996,H2CA27107,"HARMAN, JANE",I,1,DEM,1703775,0,1579938,0,5910,129746,126000,29756,0,155756,0,0,997937,CA,36,,W,,W,52,508164,5350,12311996,,
1996,H6CA37263,"HARRIS, JOYCE YVONNE",O,1,DEM,27537,0,27940,0,0,-402,0,27500,0,0,0,4706,0,CA,37,L,L,,,0,0,0,3311996,,
1996,H6CA17067,"HARVEY, TRICE",,2,REP,507756,0,511479,0,0,0,0,0,0,0,0,0,419434,CA,20,,W,,L,40,66898,10000,12311996,,
1996,H6CA02010,"HERGER, WALTER WILLIAM (WALLY) JR",I,2,REP,743383,0,536724,0,271092,477749,0,0,0,0,0,0,355469,CA,2,,W,,W,60,341801,510,12311996,,
1996,H4CA04045,"HIRNING, KATHLEEN M",,1,DEM,199656,0,199179,0,2402,2536,5677,0,0,0,0,95825,123474,CA,4,,W,,L,36,65247,1400,12311996,,
1996,H8CA42046,"HORN, STEVE",I,2,REP,454093,0,470077,0,43721,27741,0,0,0,0,0,26981,445467,CA,38,,W,,W,52,0,0,12311996,,
1996,H4CA06040,"HUGHES, DUANE CHARLES",,2,REP,294169,0,292181,0,2560,4546,0,500,0,8164,0,14518,276201,CA,6,,W,,L,33,8150,3213,12311996,,
1996,H2CA42023,"HUNTER, DUNCAN CONGRESSMAN",I,2,REP,605890,0,632305,0,27059,645,0,0,0,0,0,0,320579,CA,52,,W,,W,65,276759,75,12311996,,
1996,H2CA09048,"HUNTER, G WILLIAM",,2,REP,431,0,1925,0,1495,0,381,0,0,0,0,0,0,CA,9,,L,,,0,0,0,3311996,,
1996,H6CA44087,"HURST, PAUL ANSON",,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,44,,L,,,0,0,0,3311996,,
1996,H6CA10112,"JANLOIS, VALERIE",,3,NLP,5588,0,5645,0,0,0,1388,0,0,0,0,0,4200,CA,10,,W,,L,1,0,0,12311996,,
1996,H6CA12126,"JENKINS, STORM EARL",,2,REP,4536,0,4016,0,0,519,0,3436,0,0,0,3436,100,CA,12,,W,,L,23,1000,0,6301996,,
1996,H6CA24147,"JHIN, K PAUL",O,2,REP,95347,0,95246,0,0,101,0,53075,0,4292,0,38200,29696,CA,24,,L,,,0,0,0,10161996,,
1996,H6CA33080,"JOHNSON, HOWARD G",,3,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,33,,W,,L,3,0,0,12311996,,
1996,H6CA24170,"JORDAN, MICHAEL",O,1,DEM,9674,0,9675,0,0,0,3412,0,0,0,0,0,6262,CA,24,,L,,,0,0,0,7311996,,
